chipid,minfreeheap,freeheap,internal_temperature,wifi_level,reset_reason1,reset_reason2
16013708,54920,69920,42.78,-64,12,12
16013708,54920,68328,42.78,-64,12,12
16013708,54920,69920,42.78,-63,12,12
16013708,54920,69920,42.78,-62,12,12
16013708,54920,69920,42.78,-64,12,12
16013708,54920,69920,42.78,-65,12,12
16013708,54920,69920,42.78,-65,12,12
16013708,54920,69920,42.78,-64,12,12
16013708,54920,69920,42.22,-67,12,12
16013708,54920,69920,42.78,-64,12,12
16013708,54920,69920,42.78,-64,12,12
16013708,54920,69920,43.33,-64,12,12
16013708,54920,69920,42.78,-64,12,12
16013708,54920,69920,42.78,-65,12,12
16013708,54920,69920,42.78,-58,12,12
16013708,54920,69920,42.78,-61,12,12
16013708,54920,69920,42.78,-59,12,12
16013708,54920,69920,42.78,-59,12,12
16013708,54920,69920,42.78,-65,12,12
16013708,54920,69920,42.78,-63,12,12
16013708,54920,69920,42.22,-63,12,12
16013708,54920,69920,42.78,-63,12,12
16013708,54920,69920,42.78,-64,12,12
16013708,54920,69920,42.22,-63,12,12
16013708,54920,68328,42.22,-64,12,12
16013708,54920,69920,43.33,-60,12,12
16013708,54920,69920,42.22,-63,12,12
16013708,54920,69920,42.22,-62,12,12
16013708,54920,69920,42.78,-62,12,12
16013708,54920,69920,43.33,-60,12,12
16013708,54920,68328,42.78,-58,12,12
16013708,54920,68328,42.78,-62,12,12
16013708,54920,68328,42.78,-62,12,12
16013708,54920,69920,42.22,-67,12,12
16013708,54920,69920,42.22,-65,12,12
16013708,54920,69920,42.78,-59,12,12
16013708,54920,69920,42.78,-59,12,12
16013708,54920,69920,42.78,-59,12,12
16013708,54920,69920,43.33,-59,12,12
16013708,54920,69920,42.22,-60,12,12
16013708,54920,69920,43.33,-63,12,12
16013708,54920,69920,42.78,-61,12,12
16013708,54920,69920,42.78,-62,12,12
16013708,54920,69920,42.78,-61,12,12
16013708,54920,69920,42.22,-64,12,12
16013708,54920,69920,42.78,-62,12,12
16013708,54920,69920,43.33,-63,12,12
16013708,54920,69920,42.78,-61,12,12
16013708,54920,68328,42.78,-59,12,12
16013708,54920,68328,42.22,-60,12,12
16013708,54920,68328,43.33,-60,12,12
16013708,54920,68328,42.78,-61,12,12
16013708,54920,69920,43.33,-59,12,12
16013708,54920,69920,42.78,-60,12,12
16013708,54920,69920,42.78,-61,12,12
16013708,54920,69920,42.22,-62,12,12
16013708,54920,68328,42.22,-62,12,12
16013708,54920,68212,43.33,-62,12,12
16013708,54920,69920,42.78,-61,12,12
16013708,54920,69920,43.33,-60,12,12
16013708,54920,69920,42.22,-61,12,12
16013708,54920,69920,42.22,-62,12,12
16013708,54920,69920,42.78,-63,12,12
16013708,54920,69920,42.78,-61,12,12
16013708,54920,68328,43.33,-62,12,12
16013708,54920,69920,42.78,-60,12,12
16013708,54920,69920,42.22,-62,12,12
16013708,54920,69920,43.33,-62,12,12
16013708,54920,68308,42.78,-60,12,12
16013708,54920,69920,42.78,-62,12,12
16013708,54920,68212,42.22,-61,12,12
16013708,54920,69920,42.78,-61,12,12
16013708,54920,68328,42.78,-61,12,12
16013708,54920,69920,42.78,-64,12,12
16013708,54920,69920,42.78,-62,12,12
16013708,54920,68092,43.33,-64,12,12
16013708,54920,69920,42.78,-61,12,12
16013708,54920,69920,42.78,-64,12,12
16013708,54920,69920,42.22,-60,12,12
16013708,54920,69920,42.78,-59,12,12
16013708,54920,69920,42.78,-56,12,12
16013708,54920,69920,42.78,-58,12,12
16013708,54920,69920,42.78,-58,12,12
16013708,54920,69920,42.78,-62,12,12
16013708,54920,69920,42.78,-62,12,12
16013708,54920,69920,42.78,-60,12,12
16013708,54920,69920,42.78,-59,12,12
16013708,54920,69920,42.78,-62,12,12
16013708,54920,69920,42.78,-64,12,12
16013708,54920,69920,43.33,-65,12,12
16013708,54920,69920,42.78,-63,12,12
16013708,54920,69920,42.78,-63,12,12
16013708,54920,69920,42.78,-61,12,12
16013708,54920,69920,42.78,-60,12,12
16013708,54920,69920,42.78,-69,12,12
16013708,54920,68328,43.33,-60,12,12
16013708,54920,69920,42.78,-60,12,12
16013708,54920,69920,42.78,-64,12,12
16013708,54920,69920,42.78,-66,12,12
16013708,54920,69920,42.78,-60,12,12
16013708,54920,69920,42.78,-61,12,12
16013708,54920,69920,42.78,-63,12,12
16013708,54920,69920,43.33,-61,12,12
16013708,54920,66736,42.78,-66,12,12
16013708,54920,69920,42.78,-65,12,12
16013708,54920,69920,41.67,-59,12,12
16013708,54920,69920,43.33,-60,12,12
16013708,54920,69920,43.33,-66,12,12
16013708,54920,69920,42.22,-65,12,12
16013708,54920,69920,42.78,-65,12,12
16013708,54920,69920,43.33,-61,12,12
16013708,54920,69920,42.78,-62,12,12
16013708,54920,69920,42.78,-60,12,12
16013708,54920,69920,42.78,-60,12,12
16013708,54920,69920,42.78,-65,12,12
16013708,54920,69920,43.33,-64,12,12
16013708,54920,69920,43.33,-61,12,12
16013708,54920,69920,42.78,-65,12,12
16013708,54920,69920,42.22,-65,12,12
16013708,54920,69920,42.78,-62,12,12
16013708,54920,69920,42.78,-66,12,12
