chipid,minfreeheap,freeheap,internal_temperature,wifi_level,reset_reason1,reset_reason2
16153060,182776,265196,37.78,-37,1,14
16153060,182776,265196,37.78,-37,1,14
16153060,182776,265196,37.78,-38,1,14
16153060,182776,263608,37.78,-37,1,14
16153060,182776,265196,37.22,-37,1,14
16153060,182776,265196,37.22,-40,1,14
16153060,182776,265196,37.78,-39,1,14
16153060,182776,265196,37.22,-39,1,14
16153060,182776,265196,37.78,-41,1,14
16153060,182776,265196,37.78,-41,1,14
16153060,182776,265196,37.78,-40,1,14
16153060,182776,265196,37.78,-40,1,14
16153060,182776,263600,37.22,-39,1,14
16153060,182776,265196,37.78,-39,1,14
16153060,182776,265196,37.78,-39,1,14
16153060,182776,265196,37.78,-38,1,14
16153060,182776,265196,37.78,-39,1,14
16153060,182776,265196,37.78,-39,1,14
16153060,182776,265196,37.78,-38,1,14
16153060,182776,265196,37.78,-39,1,14
16153060,182776,265196,37.78,-39,1,14
16153060,182776,265196,37.78,-38,1,14
16153060,182776,265196,37.78,-39,1,14
16153060,182776,265196,37.22,-38,1,14
16153060,182776,265196,37.78,-38,1,14
16153060,182776,265196,37.22,-38,1,14
16153060,182776,265196,37.78,-35,1,14
16153060,182776,265196,38.33,-36,1,14
16153060,182776,265196,37.78,-39,1,14
16153060,182776,265196,37.78,-40,1,14
16153060,182776,265196,37.78,-40,1,14
16153060,182776,263600,37.22,-37,1,14
16153060,182776,263604,37.78,-38,1,14
16153060,182776,265196,37.78,-39,1,14
16153060,182776,265196,37.78,-38,1,14
16153060,182776,265196,37.78,-40,1,14
16153060,182776,265196,37.78,-39,1,14
16153060,182776,265196,37.78,-39,1,14
16153060,182776,265196,37.78,-38,1,14
16153060,182776,265196,37.22,-38,1,14
16153060,182776,265196,37.78,-39,1,14
16153060,182776,265196,37.22,-37,1,14
16153060,182776,265196,37.78,-38,1,14
16153060,182776,263604,37.78,-38,1,14
16153060,182776,265196,37.22,-37,1,14
16153060,182776,265196,37.78,-38,1,14
16153060,182776,265196,37.78,-38,1,14
16153060,182776,265196,37.78,-37,1,14
16153060,182776,265196,37.78,-38,1,14
16153060,182776,265196,37.78,-38,1,14
16153060,182776,263600,37.78,-38,1,14
16153060,182776,262016,37.78,-38,1,14
16153060,182776,263604,37.78,-38,1,14
16153060,182776,265196,37.78,-37,1,14
16153060,182776,265196,37.78,-39,1,14
16153060,182776,265196,37.78,-38,1,14
16153060,182776,265196,37.78,-37,1,14
16153060,182776,265196,37.78,-36,1,14
16153060,182776,265196,37.78,-38,1,14
16153060,182776,265196,37.78,-39,1,14
16153060,182776,263608,37.78,-38,1,14
16153060,182776,265196,38.33,-37,1,14
16153060,182776,265196,37.78,-38,1,14
16153060,182776,265196,37.78,-38,1,14
16153060,182776,265196,37.78,-37,1,14
16153060,182776,265196,37.78,-38,1,14
16153060,182776,265196,37.78,-38,1,14
16153060,182776,265196,37.78,-38,1,14
16153060,182776,263608,37.22,-38,1,14
16153060,182776,263472,38.33,-38,1,14
16153060,182776,265196,37.78,-38,1,14
16153060,182776,265196,37.78,-37,1,14
16153060,182776,265196,37.78,-38,1,14
16153060,182776,265196,37.78,-38,1,14
16153060,182776,265196,37.78,-38,1,14
16153060,182776,265196,37.78,-34,1,14
16153060,182776,265196,37.78,-37,1,14
16153060,182776,265196,37.78,-37,1,14
16153060,182776,265196,37.78,-37,1,14
16153060,182776,265196,37.78,-37,1,14
16153060,182776,265196,37.78,-37,1,14
16153060,182776,265196,37.78,-36,1,14
16153060,182776,265196,37.78,-37,1,14
16153060,182776,265196,37.78,-37,1,14
16153060,182776,263608,37.78,-37,1,14
16153060,182776,265196,37.78,-36,1,14
16153060,182776,265196,37.78,-36,1,14
16153060,182776,265196,37.22,-36,1,14
16153060,182776,265196,37.78,-36,1,14
16153060,182776,265196,37.78,-37,1,14
16153060,182776,265196,37.22,-37,1,14
16153060,182776,265196,37.78,-37,1,14
16153060,182776,265196,37.22,-36,1,14
16153060,182776,265196,37.78,-37,1,14
16153060,182776,265196,37.78,-37,1,14
16153060,182776,265196,37.78,-36,1,14
16153060,182776,263600,38.33,-38,1,14
16153060,182776,265196,37.78,-38,1,14
16153060,182776,265196,37.78,-39,1,14
16153060,182776,265196,37.78,-44,1,14
16153060,182776,265196,37.78,-37,1,14
16153060,182776,265196,37.78,-37,1,14
16153060,182776,265196,37.78,-37,1,14
16153060,182776,264880,37.78,-43,1,14
16153060,182776,265196,37.78,-36,1,14
16153060,182776,265196,37.22,-37,1,14
16153060,182776,265196,37.78,-37,1,14
16153060,182776,265196,37.78,-37,1,14
16153060,182776,265196,37.78,-37,1,14
16153060,182776,265196,37.78,-37,1,14
16153060,182776,265196,37.78,-37,1,14
16153060,182776,265196,37.78,-36,1,14
